aminerKey,dblpKey,title
864547,1432547,SIPPER: Selecting Informative Peers in Structured P2P Environment for Content-Based Retrieval.
462216,1432544,Content-based Multimedia Information Management.
464998,1432545,Integrating Data Mining with SQL Databases: OLE DB for Data Mining.
1206706,1432542,Probabilistic Event Extraction from RFID Data.
1632600,2895402,Scalable face image retrieval with identity-based quantization and multi-reference re-ranking.
660639,1432540,A Temporal Algebra for an ER-Based Temporal Data Model.
463748,1432541,An Efficient Relational Implementation of Recursive Relationships using Path Signatures.
745422,1432548,"Database Kernel Research: What, if anything, is left to do?"
1992201,2152320,Who broke the news?: an analysis on first reports of news events.
769500,2152321,Towards a flash search engine based on expressive semantics.
769408,2152322,A web personalization system based on web usage mining techniques.
655353,2152323,XL: an XML programming language for web service specification and composition.
869522,2152324,Dynamic placement for clustered web applications.
754118,2152325,XQuery at your web service.
330689,2152326,Personalizing E-commerce applications with on-line heuristic decision making.
348129,2152328,OCTOPUS: aggressive search of multi-modality data using multifaceted knowledge base.
1992122,2152329,Linked data selectors.
1502411,2892753,Learning Methods for Generic Object Recognition with Invariance to Pose and Lighting.
1502401,2892754,Distortion Estimation Techniques in Solving Visual CAPTCHAs.
458760,2243408,"An Architecture for Management of Large, Distributed, Scientific Data Using SQL/MED and XML."
1181295,2243409,Schema-conscious filtering of XML documents.
458841,2243403,STYX: Connecting the XML Web to the World of Semantics.
1044463,2243400,Dynamic skyline queries in metric spaces.
1372734,2243404,Trustworthy vacuuming and litigation holds in long-term high-integrity records retention.
1962344,2243405,Scalable top-k spatial keyword search.
1918409,2910366,Understanding book search behavior on the web.
1919850,2910367,A comprehensive analysis of parameter settings for novelty-biased cumulative gain.
1918351,2910364,Making your interests follow you on twitter.
1919954,2910365,Semantically coherent image annotation with a learning-based keyword propagation strategy.
172364,2910362,Preserving Update Semantics in Schema Integration.
730075,2910363,Industrial evaluation of a highly-accurate academic IR system.
907547,2910360,Estimating corpus size via queries.
1195873,3080866,Building a Graph of Names and Contextual Patterns for Named Entity Classification.
458638,2276523,Learning What People (Don't) Want.
458644,2276522,Learning When to Collaborate among Learning Agents.
169660,2276525,BMWk Revisited - Generalization and Formalization of an Algorithm for Detecting Recursive Relations in Term Sequences.
1665165,2276527,Localized Alternative Cluster Ensembles for Collaborative Structuring.
458674,2276526,Possibilistic Induction in Decision-Tree Learning.
458342,2276529,Learning in Dynamically Changing Domains: Theory Revision and Context Dependence Issues.
1747036,2152493,Google image swirl: a large-scale content-based image visualization system.
2064240,2152490,Understanding Twitter influence in the health domain: a social-psychological contribution.
1991998,2152491,On using inter-document relations in microblog retrieval.
592335,2896274,Recognizing Abruptly Changing Facial Expressions from Time-Sequential Face Images.
769499,2152494,BizCQ: using continual queries to cope with changes in business information exchange.
1746899,2152495,Vertex collocation profiles: subgraph counting for link analysis and prediction.
458377,2276048,Theoretical Results on Reinforcement Learning with Temporally Abstract Options.
838394,2910090,"Intelligent creation of notification events in information systems: concept, implementation and evaluation."
1206889,1431381,Incremental Reverse Nearest Neighbor Ranking.
342725,2910098,Recent Developments in Text Summarization.
1920046,2910099,Managing interoperability and compleXity in health systems - MIXHS'12.
1594565,1431389,Interval-based pruning for top-k processing over compressed lists.
1846827,1431388,Lookup Tables: Fine-Grained Partitioning for Distributed Databases.
1273943,3133161,Levels of Complexity in Discourse for Anaphora Disambiguation and Speech Act Interpretation.
1605977,2519552,Tell me what i need to know: succinctly summarizing data with itemsets.
1451150,2519553,Diagnosing memory leaks using graph mining on heap dumps.
1214737,2519550,Address standardization with latent semantic association.
769899,2519551,"Mining, indexing, and querying historical spatiotemporal data."
1991868,2519557,Comparing apples to oranges: a scalable solution with heterogeneous hashing.
1606043,2519555,Diversified ranking on large graphs: an optimization viewpoint.
769960,2519558,A generative probabilistic approach to visualizing sets of symbolic sequences.
1451169,2519559,"Grafting-light: fast, incremental feature selection and structure learning of Markov random fields."
1693905,1852968,Probabilistic models for personalizing web search.
1536554,1852969,Strength of social influence in trust networks in product review sites.
1035591,1852960,A holistic lexicon-based approach to opinion mining.
1948185,1852961,A peek into the future: predicting the evolution of popularity in user generated content.
1948153,1852966,Expediting search trend detection via prediction of query counts.
1035586,1852967,On ranking controversies in wikipedia: models and evaluation.
1693891,1852964,Post-click conversion modeling and analysis for non-guaranteed delivery display advertising.
1035584,1852965,Personal name classification in web queries.
850730,2193256,Composing Schema Mappings: Second-Order Dependencies to the Rescue.
378412,2193255,Labeling Dynamic XML Trees.
