aminerKey,title
2141072,Relating Romanized Comments to News Articles by Inferring Multi-Glyphic Topical Correspondence.
2550077,Load-sensitive CPU Power Management for Web Search Engines.
2550072,Searchers and Searchers: Differences between the Most and Least Consistent Searchers.
2908887,LICON: A Linear Weighting Scheme for the Contribution ofInput Variables in Deep Artificial Neural Networks.
1435466,Overlapping Community Search for social networks.
2890261,Understanding Objects in Detail with Fine-Grained Attributes.
1434591,Efficient fault-tolerance for iterative graph processing on distributed dataflow systems.
2890265,Estimation of Blood Flow Speed and Vessel Location from Thermal Video.
2890267,Geo-location estimation from two shadow trajectories.
2891130,A Computational Model for Repeated Pattern Perception Using Frieze and Wallpaper Groups.
2892224,A novel riemannian framework for shape analysis of 3D objects.
2142475,HEARSAY-II: A Domain-Independent Framework for Expert Systems.
2892223,Image Registration by Aligning Entropies.
2895300,Visual motion analysis under interceptive behavior.
2895302,Taylor expansion based classifier adaptation: Application to person detection.
2895304,The Role of Domain Knowledge in the Detection of Retinal Hard Exudates.
2890886,Vehicle detection and tracking in wide field-of-view aerial video.
2890887,Making One Object Look Like Another: Controlling Appearance Using a Projector-Camera System.
1434330,Understanding computer usage evolution.
2890889,Error-Tolerant Scribbles Based Interactive Image Segmentation.
1434338,Distributed Processing of Moving K-Nearest-Neighbor Query on Moving Objects.
2549599,Transfer Learning for Information Retrieval.
2142995,"College Towns, Vacation Spots, and Tech Hubs: Using Geo-Social Media to Model and Compare Locations."
2549592,Incremental Interface Design: A Prototype Graphical User Interface for Grateful Med (Demo).
2549597,Searching on the Web: Two Types of Expertise (poster abstract).
3134739,Quiet: Faster Belief Propagation for Images and Related Applications.
2276223,Visualizations for Assessing Convergence and Mixing of MCMC.
2276224,Analyzing Sensory Data Using Non-linear Preference Learning with Feature Subset Selection.
2276229,A Two-Level Learning Method for Generalized Multi-instance Problems.
2549624,A Study on Thresholding Strategies for Text Categorization.
2549626,A burstiness-aware approach for document dating.
3132775,Maximal Cooperation in Repeated Games on Social Networks.
3132776,Incomplete Multi-Modal Visual Data Grouping.
2909821,Sampling Big Trajectory Data.
2909827,A Problem-Action Relation Extraction Based on Causality Patterns of Clinical Events in Discharge Summaries.
2909826,Verifiable UML Artifact-Centric Business Process Models.
2892656,Simple direct computation of the FOE with confidence measures.
2892653,Bayesian Learning of Sparse Classifiers.
2142998,Fast Parallel and Adaptive Updates for Dual-Decomposition Solvers.
1433025,Odysseus: a High-Performance ORDBMS Tightly-Coupled with Spatial Database Features.
1433023,Making pattern queries bounded in big graphs.
2895472,Fusing subcategory probabilities for texture classification.
2155156,Estimating Gender and Age of Web Page Visitors from the Way They Use Their Mouse.
2155154,Tracing and Predicting Collaboration for Junior Scholars.
3132196,Optimizing Simple Tabular Reduction with a Bitwise Representation.
2866655,For User-Driven Software Evolution: Requirements Elicitation Derived from Mining Online Reviews.
2693913,Nonlinear Dimensionality Reduction using Approximate Nearest Neighbors.
3133824,Higher-Order Potentialities and their Reducers: A Philosophical Foundation Unifying Dynamic Modeling Methods.
2145856,Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition.
2145857,Efficient Object Detection via Adaptive Online Selection of Sensor-Array Elements.
2145853,Inferring Same-As Facts from Linked Data: An Iterative Import-by-Query Approach.
2145850,FutureMatch: Combining Human Value Judgments and Machine Learning to Match in Dynamic Environments.
2145859,Learning: The Construction of A Posteriori Knowledge Structures.
2908062,A Probabilistic Framework for Temporal User Modeling on Microblogs.
2908063,F1: Accelerating the Optimization of Aggregate Continuous Queries.
1432047,"Norm, Point, and Distance Estimation Over Multiple Signals Using Max-Stable Distributions."
1432046,Decorrelation of user defined function invocations in queries.
1431771,Understanding short texts through semantic enrichment and hashing.
2152517,Less is More: Filtering Abnormal Dimensions in GloVe.
2152514,Collaborative Nowcasting for Contextual Recommendation.
2152512,The Liquid.js Framework for Migrating and Cloning Stateful Web Components across Multiple Devices.
2152510,Microscopic Description and Prediction of Information Diffusion in Social Media: Quantifying the Impact of Topical Interests.
2145584,Characterizing Multi-Agent Team Behavior from Partial Team Tracings: Evidence from the English Premier League.
2145585,Linear Discriminant Analysis: New Formulations and Overfit Analysis.
2145587,A Fast Bandit Algorithm for Recommendation to Users With Heterogenous Tastes.
2145589,The Automated Vacuum Waste Collection Optimization Problem.
2154209,Using Index to Manage the Ordering Structure of XML Data in the Nested Relational Sequence Database System.
2243236,Interactive Temporal Association Analytics.
2910111,Identification of Answer-Seeking Questions in Arabic Microblogs.
1432085,Scalable SimRank join algorithm.
1432081,PerfAugur: Robust diagnostics for performance anomalies in cloud services.
2519457,Mining Knowledge in Noisy Audio Data.
2519452,Non-parametric scan statistics for event detection and forecasting in heterogeneous social media graphs.
2896021,Multi-object tracking through occlusions by local tracklets filtering and global tracklets association with detection responses.
2896023,Subgraph matching using compactness prior for robust feature correspondence.
2896026,Visual Tracking and Control using Lie Algebras.
2893218,Event Detection Using Multi-level Relevance Labels and Multiple Features.
2893212,Document Image Enhancement Using Directional Wavelet.
1431194,A Framework Towards Efficient and Effective Sequence Clusterin.
3081084,Learning Word Embeddings from Wikipedia for Content-Based Recommender Systems.
1701470,Visualization Support to Interactive Cluster Analysis.
1701479,Community Distribution Outlier Detection in Heterogeneous Information Networks.
2243187,Efficient Similarity Search for Hierarchical Data in Large Databases.
2154794,Understanding Smart Cities as Social Machines.
2144068,Boolean Functions with Ordered Domains in Answer Set Programming.
2144064,CAPReS: Context Aware Persona Based Recommendation for Shoppers.
2144066,"Learning with Imprecise Classes, Rare Instances, and Complex Relationships."
2144061,Multi-Label Learning with Weak Label.
2144062,Online Bandit Learning for a Special Class of Non-Convex Losses.
2192932,On Lossless Transformation of Database Schemes not Necessarily Satisfying Universal Instance Assumption.
2243180,Practical Query Answering in Data Exchange Under Inconsistency-Tolerant Semantics.
2890746,Multibody Grouping via Orthogonal Subspace Decomposition.
2890745,Space-Time Isosurface Evolution for Temporally Coherent 3D Reconstruction.
2890744,Combining Information using Hard Constraints.
2890742,A surface matching algorithm for two perspective views.
2890741,Approximate earth mover's distance in linear time.
2890740,3D pose estimation and segmentation using specular cues.
2890748,Video Classification Using Semantic Concept Co-occurrences.
2153262,D-ForenRIA: Distributed Reconstruction of User-Interactions for Rich Internet Applications.
1433841,Fast in-memory XPath search using compressed indexes.
2153268,The TIB|AV Portal as a Future Linked Media Ecosystem.
2153269,Towards Mobile Query Auto-Completion: An Efficient Mobile Application-Aware Approach.
2155639,Real-time Tweet Classification in Disaster Situation.
2867685,Outlier Detection Based on Leave-One-Out Density Using Binary Decision Diagrams.
1700705,Attribute Conjunction Learning with Recurrent Neural Network.
1700700,A Skeleton-Based Approach to Learning Bayesian Networks from Data.
