The Top-k Frequent Closed Itemset Mining Using Top-k SAT Problem.,2013,ECML/PKDD (3)
Producing Accurate Interpretable Clusters from High-Dimensional Data.,2005,PKDD
General Algorithms for Mining Closed Flexible Patterns under Various Equivalence Relations.,2012,ECML/PKDD (2)
"Mining Billion-Node Graphs: Patterns, Generators and Tools.",2010,ECML/PKDD (1)
Managing Interesting Rules in Sequence Mining.,1999,PKDD
Large-Scale Multi-label Text Classification - Revisiting Neural Networks.,2014,ECML/PKDD (2)
Handling Oversampling in Dynamic Networks Using Link Prediction.,2015,ECML/PKDD (2)
Efficient Construction of Comprehensible Hierarchical Clusterings.,1998,PKDD
Hidden Conditional Ordinal Random Fields for Sequence Classification.,2010,ECML/PKDD (2)
Multidimensional Prediction Models When the Resolution Context Changes.,2015,ECML/PKDD (2)
Sequence Labelling SVMs Trained in One Pass.,2008,ECML/PKDD (1)
A Skeleton-Based Approach to Learning Bayesian Networks from Data.,2003,PKDD
"Ridge Regression, Hubness, and Zero-Shot Learning.",2015,ECML/PKDD (1)
Understanding the User: Personomy Translation for Tag Recommendation.,2009,DC@PKDD/ECML
Conceptual Knowledge Discovery in Databases Using Formal Concept Analysis Methods.,1998,PKDD
Are We There Yet?.,2009,ECML/PKDD (1)
PSSDL: Probabilistic Semi-supervised Dictionary Learning.,2013,ECML/PKDD (3)
Applying Data Mining Techniques to Wafer Manufacturing.,1999,PKDD
Stochastic CoSaMP: Randomizing Greedy Pursuit for Sparse Signal Recovery.,2016,ECML/PKDD (1)
PerTurbo: A New Classification Algorithm Based on the Spectrum Perturbations of the Laplace-Beltrami Operator.,2011,ECML/PKDD (1)
Simultaneous Prediction of Mulriple Chemical Parameters of River Water Quality with TILDE.,1999,PKDD
Learning Exemplar-Represented Manifolds in Latent Space for Classification.,2013,ECML/PKDD (3)
Differentially Private Projected Histograms: Construction and Use for Prediction.,2012,ECML/PKDD (2)
Maximum Entropy Linear Manifold for Learning Discriminative Low-Dimensional Representation.,2015,ECML/PKDD (1)
Improved Counter Based Algorithms for Frequent Pairs Mining in Transactional Data Streams.,2012,ECML/PKDD (1)
Active Learning with Rationales for Identifying Operationally Significant Anomalies in Aviation.,2016,ECML/PKDD (3)
KnowNow: A Serendipity-Based Educational Tool for Learning Time-Linked Knowledge.,2014,ECML/PKDD (3)
Clustering Transactional Data.,2002,PKDD
Dynamic Bayesian Networks for Real-Time Classification of Seismic Signals.,2007,PKDD
Collaborative Tag Recommendation System based on Logistic Regression.,2009,DC@PKDD/ECML
Learning Multi-dimensional Functions: Gas Turbine Engine Modeling.,2007,PKDD
Generating Actionable Knowledge by Expert-Guided Subgroup Discovery.,2002,PKDD
F-Measure Maximization in Multi-Label Classification with Conditionally Independent Label Subsets.,2016,ECML/PKDD (1)
Solving Relational MDPs with Exogenous Events and Additive Rewards.,2013,ECML/PKDD (1)
Beyond Blocks: Hyperbolic Community Detection.,2014,ECML/PKDD (1)
Efficient Mining of High Confidience Association Rules without Support Thresholds.,1999,PKDD
Detection of Interdependences in Attribute Selection.,1998,PKDD
"SVR-based Modelling for the MoReBikeS Challenge: Analysis, Visualisation and Prediction.",2015,DC@PKDD/ECML
Mobility Mining for Journey Planning in Rome.,2015,ECML/PKDD (3)
Combining Multiple Models with Meta Decision Trees.,2000,PKDD
Anti-discrimination Analysis Using Privacy Attack Strategies.,2014,ECML/PKDD (2)
Greedy Confidence Pursuit: A Pragmatic Approach to Multi-bandit Optimization.,2013,ECML/PKDD (1)
Learning Efficiently in Semantic Based Regularization.,2016,ECML/PKDD (2)
Adaptive Bases for Reinforcement Learning.,2010,ECML/PKDD (1)
Scientific Workflow Management with ADAMS.,2012,ECML/PKDD (2)
An Evolutionary Algorithm Using Multivariate Discretization for Decision Rule Induction.,1999,PKDD
Multiple Manifolds Learning Framework Based on Hierarchical Mixture Density Model.,2008,ECML/PKDD (2)
Mining Edge-Weighted Call Graphs to Localise Software Bugs.,2008,ECML/PKDD (1)
Resampling in an Indefinite Database to Approximate Functional Dependencies.,1998,PKDD
Importance Weighted Inductive Transfer Learning for Regression.,2014,ECML/PKDD (1)
"Watch, Listen&Learn: Co-training on Captioned Images and Videos.",2008,ECML/PKDD (1)
Spá: A Web-Based Viewer for Text Mining in Evidence Based Medicine.,2014,ECML/PKDD (3)
Summarization of Dynamic Content in Web Collections.,2004,PKDD
Joint Prediction of Topics in a URL Hierarchy.,2014,ECML/PKDD (1)
Parallel Structural Graph Clustering.,2011,ECML/PKDD (3)
Challenges of Urban Sensing.,2006,PKDD
Contribution of Boosting in Wrapper Models.,1999,PKDD
